# Bottled Water Brands Labeled as Acidic Neutral Alkaline (No Tested pH Reported)

| Brand | Classification | Reason Given | pH Number Provided? | Consumer Takeaway |
|---|---|---|---|---|
| Perrier | Acidic | sparkling water assumption | No | limit if avoiding acidity |
| San Pellegrino | Acidic | carbonated mineral water | No | expect lower pH |
| Evian | Neutral | "natural spring" narrative | No | broadly considered neutral |
| Poland Spring | Neutral | "spring water" category | No | typical daily water |
| FIJI | Slightly alkaline | marketing language | No | positioned as smooth |
| Essentia | Alkaline | "ionized" branding | No | marketed for high pH |
| Smartwater | Neutral | purified/distilled framing | No | expected near neutral |
| Icelandic Glacial | Alkaline | label emphasis | No | sold as alkaline |
| Acqua Panna | Slightly alkaline | mineral content narrative | No | often grouped as alkaline |
