# Operation Centerboard  Hiroshima Strike Mission Roster and Assigned Duties (6 August 1945)

| Aircraft | Crew Position | Assigned Person | Duty During Mission | Notes |
|---|---|---|---|---|
| Enola Gay | Aircraft Commander | Col. Paul W. Tibbets | Primary weapon delivery | Lead B-29 on Hiroshima run |
| Enola Gay | Bombardier | Maj. Thomas Ferebee | Aiming and bomb release | Conducted final bombing run |
| Enola Gay | Weaponeer | Capt. William S. Parsons | Arming the device in flight | Final arming procedures onboard |
| Enola Gay | Navigator | Capt. Theodore Van Kirk | Route navigation | Timing and course corrections |
| The Great Artiste | Instrument Specialist | Capt. George W. Marquardt | Blast measurement | Scientific instrumentation aircraft |
| Necessary Evil | Photographer | Lt. George R. Caron | Aerial photography | Photo documentation of detonation |
| Straight Flush | Weather Recon Pilot | Maj. Claude R. Eatherly | Weather scouting | Reported target visibility |
| Jabit III | Weather Recon Pilot | Maj. John A. Wilson | Alternate-target weather | Checked conditions over Kokura |
| Full House | Weather Recon Pilot | Maj. Ralph R. Taylor | Additional weather recon | Checked conditions over Nagasaki |
