# Comparison of raster graphics editors
> General information

|  | Description | Creator | First public release date | Latest stable version | Latest Stable Release Date | Cost | Software license |
| --- | --- | --- | --- | --- | --- | --- |
| Ability Photopaint | Graphics editor with some advanced features | Ability Software | 000000002001-03-01-0000 March 2001 | 4 |  |  | Proprietary |
| ACDSee |  |  |  | 19 |  | $59 | Proprietary |
| ACDSee Pro |  |  |  | 9 |  | $99 | Proprietary |
| ACDSee Ultimate |  |  |  | 9 |  | $149 | Proprietary |
| Adobe Fireworks | Alternative to Photoshop targeted at web designers, discontinued after CS6 | Macromedia | 000000001998-01-01-0000 1998 | CS6 / 12.0 | 000000002012-05-07-0000 May 7, 2012 |  | Proprietary |
| Adobe Photoshop | Professional image editor and graphics creation tool | John Knoll , Thomas Knoll | 000000001990-02-01-0000 February 1990 | CC 2015.5 / 17.0 | 000000002016-06-20-0000 June 20, 2016 | $9.99/month | Proprietary |
| Adobe Photoshop Elements | Raster graphics editor for entry-level photographers, image editors and hobbyists |  |  | 14.0 | 000000002015-09-24-0000 September 24, 2015 | $99 | Proprietary |
| Adobe Photoshop Lightroom | Photo editor | Adobe Systems | 000000002007-02-19-0000 February 19, 2007 | 6.6 | 000000002016-06-08-0000 June 8, 2016 | $9.99/month | Proprietary |
| Autodesk SketchBook Pro | Paint and drawing toolset for use with digitized pen tablets & tablet computers | Alias | 000000002004-01-01-0000 2004 | 2009 (3.1) |  |  | Proprietary |
| Artipic | Image editor for Windows and OS X | Artipic AB | 000000002014-01-01-0000 2014 | 2.3.3 (Windows) / 2.3.1 (OS X) |  |  | Proprietary |
| ArtRage | Digital paint program for tablet computers | Ambient Design | 000000002004-01-01-0000 2004 | 4.5.1 |  |  | Proprietary |
| Artweaver | Emulates physical painting experience on a computer | Boris Eyrich | 000000002002-01-01-0000 2002 | 3.0 |  |  | Freeware |
| Bibble | Photo editor and organizer with camera raw file support | Bibble Labs | 000000002000-01-01-0000 2000 | 5.2 |  |  | Proprietary |
| Bloom Image Editor | Procedural node-based image editor | Sad Cat Software | 000000002015-01-01-0000 2015 | 1.0.181 |  |  | Proprietary |
| Brush Strokes Image Editor | Image editor like Windows Paint | Paul Bird | 000000002004-01-01-0000 2004 | 2.0 |  |  | Freeware |
| Capture One | Professional raw converter and image editor | Phase One | 000000002002-01-01-0000 2002 | 8.3 |  |  | Proprietary |
