# Metric to Inch Reference for Needle Diameters (with approximate US UK notes)

| Diameter (mm) | Decimal inches | Fractional inches (approx.) | US needle (approx.) | UK needle (approx.) |
|---:|---:|---|---:|---:|
| 2.00 | 0.079 | ~5/64 in | 0 (approx.) | 14 (approx.) |
| 2.25 | 0.089 | ~3/32 in | 1 (approx.) | 13 (approx.) |
| 2.75 | 0.108 | ~7/64 in | 2 (approx.) | 12 (approx.) |
| 3.25 | 0.128 | ~1/8 in | 3 (approx.) | 10 (approx.) |
| 3.50 | 0.138 | ~9/64 in | 4 (approx.) | 9 (approx.) |
| 3.75 | 0.148 | ~5/32 in | 5 (approx.) | 9 (approx.) |
| 4.00 | 0.157 | ~5/32 in | 6 (approx.) | 8 (approx.) |
| 4.50 | 0.177 | ~3/16 in | 7 (approx.) | 7 (approx.) |
| 5.00 | 0.197 | ~13/64 in | 8 (approx.) | 6 (approx.) |
| 5.50 | 0.217 | ~7/32 in | 9 (approx.) | 5 (approx.) |
| 6.00 | 0.236 | ~15/64 in | 10 (approx.) | 4 (approx.) |
| 6.50 | 0.256 | ~1/4 in | 10.5 (approx.) | 3 (approx.) |
