# French Monarchs  Transition from the House of Valois to the House of Bourbon

| Order | Monarch (English / French) | Reign start | Reign end | House | Relationship / legitimacy vs previous ruler |
| --- | --- | --- | --- | --- | --- |
| 1 | Charles V “the Wise” (Charles V le Sage) | 1364 | 1380 | Valois | Son of John II; succeeded his father |
| 2 | Charles VI “the Mad” (Charles VI le Fou) | 1380 | 1422 | Valois | Son of Charles V; succeeded as a minor under regency |
| 3 | Charles VII “the Victorious” (Charles VII le Victorieux) | 1422 | 1461 | Valois | Son of Charles VI; claimant opposed by English-backed rival during Hundred Years’ War |
| 4 | Louis XI “the Prudent” (Louis XI le Prudent) | 1461 | 1483 | Valois | Son of Charles VII; succeeded his father |
| 5 | Charles VIII (Charles VIII) | 1483 | 1498 | Valois | Son of Louis XI; succeeded as a minor |
| 6 | Louis XII (Louis XII) | 1498 | 1515 | Valois-Orléans | Second cousin of Charles VIII; inherited as nearest male-line Valois relative |
| 7 | Francis I (François Ier) | 1515 | 1547 | Valois-Angoulême | First cousin once removed and son-in-law of Louis XII; succeeded by Salic-law male-line proximity |
| 8 | Henry II (Henri II) | 1547 | 1559 | Valois-Angoulême | Son of Francis I; succeeded his father |
| 9 | Francis II (François II) | 1559 | 1560 | Valois-Angoulême | Son of Henry II; succeeded his father |
| 10 | Charles IX (Charles IX) | 1560 | 1574 | Valois-Angoulême | Brother of Francis II; succeeded after Francis II died without heirs |
| 11 | Henry III (Henri III) | 1574 | 1589 | Valois-Angoulême | Brother of Charles IX; succeeded his brother |
| 12 | Henry IV (Henri IV) | 1589 | 1610 | Bourbon | Distant cousin (first prince of the blood) to Henry III; succeeded under Salic law after Valois line ended |
