# Postal code prefix ranges for Korean metropolitan cities (city-level only)

| Prefix range (NN) | Metropolitan city | Korean name | Category |
|---|---|---|---|
| 01–09 | Seoul | 서울특별시 | Special/Metropolitan |
| 21–23 | Incheon | 인천광역시 | Metropolitan |
| 34–35 | Daejeon | 대전광역시 | Metropolitan |
| 41–43 | Daegu | 대구광역시 | Metropolitan |
| 44–45 | Ulsan | 울산광역시 | Metropolitan |
| 46–49 | Busan | 부산광역시 | Metropolitan |
| 62–63 | Gwangju | 광주광역시 | Metropolitan |
| 70–72 | Sejong | 세종특별자치시 | Special self-governing |
| 80–82 | Jeju | 제주특별자치도 | Special self-governing |
