# Wars involving the Republic of India (selected modern and contemporary conflicts)

| War/Conflict | Years | India and allies (dedicated column) | Opponents / Other belligerents | Theater/Region | Outcome (brief) |
|---|---:|---|---|---|---|
| Indo-Pakistani War | 1947–1948 | India; Jammu & Kashmir forces | Pakistan; Azad Kashmir forces | Kashmir | UN-mediated ceasefire; divided control |
| Indo-Pakistani War | 1965 | India | Pakistan | Punjab & Kashmir | Ceasefire (Tashkent Declaration) |
| Bangladesh Liberation War (Indo-Pakistani War) | 1971 | India; Mukti Bahini | Pakistan | East Pakistan (Bangladesh) | Bangladesh independence; Pakistani surrender |
| Siachen conflict (Operation Meghdoot) | 1984–2003 | India | Pakistan | Siachen Glacier | Protracted militarized standoff |
| Kargil War | 1999 | India | Pakistan-backed forces | Kargil sector (Kashmir) | Indian recapture of positions |
| Indo-Pakistani standoff (Operation Parakram) | 2001–2002 | India | Pakistan (implicated) | India–Pakistan border | Mobilization; de-escalation |
| Sino-Indian War | 1962 | India | China | Himalayan border | Chinese victory; ceasefire |
| Sino-Indian border clashes (Nathu La & Cho La) | 1967 | India | China | Sikkim sector | Indian tactical success (disputed) |
| India–China border clash (Galwan Valley) | 2020 | India | China | Ladakh | Ongoing standoff; disengagement talks |
| Sri Lankan Civil War (Indian intervention—IPKF) | 1987–1990 | India (IPKF); Sri Lanka (initially) | LTTE and other militant groups | Northern & Eastern Sri Lanka | IPKF withdrawal; conflict continued |
| Indo–Portuguese War (Annexation of Goa) | 1961 | India | Portugal | Goa, Daman and Diu | Indian annexation |
| Indo-Pakistani War (Hyderabad/Operation Polo as integration conflict) | 1948 | India | Hyderabad State forces | Deccan (Hyderabad) | Integration into India |
