# List of The Andy Griffith Show characters
> Recurring

| Name | Seasons | No. of episodes | Played by | Brief character summary |
| --- | --- | --- | --- | --- |
| Goober Pyle | 4–8 | 86 | George Lindsey | Auto mechanic and cousin of Gomer Pyle |
| Floyd Lawson | 1–7 | 80 | Howard McNear | The barber |
| Helen Crump | 3–8 | 66 | Aneta Corsaut | School teacher and Andy's girlfriend in later episodes |
| Howard Sprague | 6–8 | 37 | Jack Dodson | The milquetoast county clerk |
| Otis Campbell | 1–7 | 32 | Hal Smith | The town drunk who lets himself into the jail to sleep it off |
| Clara Edwards | 1–8 | 31 | Hope Summers | aka Clara Johnson, Bertha Edwards; a widow who is Aunt Bee's best friend |
| Thelma Lou | 1–6 | 26 | Betty Lynn | Barney’s girlfriend. Her last name was never revealed. |
| Gomer Pyle | 3–4 | 23 | Jim Nabors | Dim-witted mechanic at Wally's Filling Station; a deputy when needed; joins the United States Marine Corps |
| Emmett Clark | 8 | 16 | Paul Hartman | Fix-it shop owner/operator |
| Ellie Walker | 1 | 12 | Elinor Donahue | Andy's first girlfriend of the series; pharmacist at drug store |
| Johnny Paul Jason | 3–6 | 11 | Richard Keith | Opie's best friend |
| Deputy Warren Ferguson | 6 | 11 | Jack Burns | Floyd's nephew; replaces Barney |
| Mayor Pike | 1–2 | 11 | Dick Elliott | Mayor of Mayberry |
| Jud Fletcher | 1–7 | 8 | Burt Mustin | Elderly citizen of Mayberry |
| Mayor Roy Stoner | 3 | 7 | Parley Baer | Mayor of Mayberry |
| Briscoe Darling | 3–7 | 6 | Denver Pyle | Head of The Darlings |
| Charlene Darling | 3–7 | 5 | Maggie Peterson | Briscoe Darling's daughter. Had a crush on Andy. |
| Reverend Hobart M. Tucker | 3–8 | 6 | William Keene | Pastor of All Souls Church |
| The Darling Boys | 3–7 | 6 | The Dillards | Musical brothers played by real-life bluegrass band |
| Ben Weaver | 1–8 | 6 | Will Wright / Tol Avery | Miserly old landlord and department store owner |
| Emma Watson | 1–2 | 6 | Cheerio Meredith | aka Emma Brand |
| Ernest T. Bass | 3–6 | 5 | Howard Morris | A troublemaking mountain man |
| Asa Breeney | 3–5 | 5 | Charles P. Thompson | The elderly (always sleeping) Mayberry Bank guard |
| John Masters | 2–5 | 5 | Olan Soule | Choir director and hotel manager |
| Leon | 2–4 | 5 | Clint Howard | Toddler in a cowboy outfit |
| Peggy McMillan | 3 | 4 | Joanna Moore | Andy's girlfriend and nurse |
| Sam Jones | 8 | 4 | Ken Berry | Widowed farmer |
| Rafe Hollister | 2–3 | 3 | Jack Prince | Local farmer and moonshiner |
| Wally | 3 4 6 7 | 5 | Trevor Bardette Norman Leavitt (2) Cliff Norton Blackie Hunt | Owner of the filling station where Gomer and later Goober work |
| Martha Clark | 8 | 3 | Mary Lansing | Emmett's wife |
| Trey Bowden | 4 | 3 | David Alan Bailey | Opie's friend |
| Daphne | 3–5 | 3 | Jean Carson | One of “ The Fun Girls ” |
| Skippy | 3–5 | 3 | Joyce Jameson | The other “Fun Girl” |
| Malcolm Merriweather | 3–6 | 3 | Bernard Fox | English valet |
