# Europe  Military-Only Capital Punishment Status (Wartime Provisions)

| Country | Military death penalty permitted? | Applies in | Typical offenses covered | Last known military execution year | Civilian death penalty status |
|---|---|---|---|---:|---|
| United Kingdom | No | N/A | N/A | 1946 | Abolished (civilian) |
| France | No | N/A | N/A | 1961 | Abolished (civilian) |
| Italy | Limited/exceptional | Wartime mobilization clauses | Treason, mutiny | 1947 | Abolished (civilian) |
| Greece | No | N/A | N/A | 1972 | Abolished (civilian) |
| Turkey | Historically yes | Wartime/emergency | Treason, terrorism | 1984 | Abolished (civilian) |
| Russia | Yes (on paper) | Wartime | Treason, war crimes | 1999 | Moratorium |
| Ukraine | No | N/A | N/A | 1997 | Abolished |
| Serbia | No | N/A | N/A | 1992 | Abolished |
| Belarus | Yes | Peacetime & wartime | Murder, terrorism | 2014 | Retained |
| Latvia | No | N/A | N/A | 1996 | Abolished |
