# Electrical resistivity of common metals at 20 °C (bulk material property)

| Category | Material | Electrical resistivity at 20 °C (nΩ·m) | Notes |
| --- | --- | ---: | --- |
| Noble metals | Silver (Ag) | 15.9 | Lowest among common metals |
| Noble metals | Copper (Cu) | 16.8 | Standard reference conductor |
| Noble metals | Gold (Au) | 24.4 | Corrosion-resistant |
| Light metals | Aluminum (Al) | 28.2 | High conductivity-to-weight |
| Transition metals | Tungsten (W) | 52.8 | High melting point |
| Transition metals | Nickel (Ni) | 69.9 | Magnetic metal |
| Transition metals | Iron (Fe) | 96.0 | Structural metal |
| Transition metals | Platinum (Pt) | 105 | Chemically stable |
| Post-transition | Tin (Sn) | 109 | Soft metal |
| Post-transition | Lead (Pb) | 208 | Soft, dense metal |
