# Top Bottled Water Brands and Their Advertised pH (Label Claims)

| Brand | Water Type | Advertised pH (On Label / Marketing) | Marketing Descriptor | Notes |
|---|---|---:|---|---|
| Essentia | Purified + ionized | 9.5 | "Ionized alkaline" | pH stated as a brand promise, not a lab test result |
| Icelandic Glacial | Spring | 8.4 | "Naturally alkaline" | pH shown as packaging claim |
| Smartwater Alkaline | Vapor-distilled + electrolytes | 9.0 | "Alkaline" | value sourced from product branding |
| Evamor | Artesian | 8.0 | "Naturally alkaline" | listed as advertised spec |
| LIFEWTR | Purified | 7.4 | "pH balanced" | positioning language rather than measured pH |
| Flow | Artesian | 8.1 | "Naturally alkaline" | value presented as a label claim |
| Core Hydration | Purified | 7.4 | "Perfectly balanced" | claim-style numeric pH |
| Eternal | Spring | 7.8 | "Naturally alkaline" | marketed range/target, not test result |
| Acqua Panna | Spring | 8.0 | "Naturally alkaline" | published spec without measurement context |
