# Building society
> List of building societies

| Name | Fate | Successor | Year |
| --- | --- | --- | --- |
| Abbey Road Building Society and National Building Society | merged to form the | Abbey National Building Society | in 1944 |
| Bingley Permanent Building Society and Bradford Equitable Building Society | merged to form the | Bradford & Bingley Building Society | in 1964 |
| Co-operative Permanent Building Society | changed its name to | Nationwide Building Society | in 1970 |
| Leicester Permanent Building Society and Leicester Temperance Building Society | merged to form the | Leicester Building Society | in 1974 |
| Bedfordshire Building Society and Temperance Permanent | merged to form | Gateway Building Society | in 1974 [19] [20] |
| Leek & Westbourne Building Society and Oldbury Britannia Building Society | merged to form | Britannia Building Society | in 1975 |
| Huddersfield & Bradford Building Society and West Yorkshire Building Society | merged to form | Yorkshire Building Society | in 1982 |
| Coventry Economic Building Society and Coventry Provident Building Society | merged to form the | Coventry Building Society | in 1983 |
| Burnley Building Society and Provincial Building Society | merged to form the | National & Provincial Building Society | in 1984 |
| London Permanent Building Society (est 1914) | merged into | Cheltenham and Gloucester | in 1984 |
| Alliance Building Society and Leicester Building Society | merged to form the | Alliance & Leicester Building Society | in 1985 |
| Waltham Abbey Building Society (1847) | merged with the | Cheltenham and Gloucester Building Society | in 1985 |
| Birmingham & Bridgwater Building Society and Midshires Building Society | merged to form the | Birmingham Midshires Building Society | in 1986 |
| Norwich Building Society and Peterborough Building Society | merged to form the | Norwich & Peterborough Building Society | in 1986 |
| Anglia Building Society and Nationwide Building Society | merged to form which changed name to the | Nationwide Anglia Building Society Nationwide Building Society | in 1987 in 1991 |
| Gateway Building Society and Woolwich Equitable Building Society | merged to form the | Woolwich Building Society | in 1988 |
| Wessex Building Society and Portman Building Society | merged to form the | Portman Wessex Building Society | in 1989 |
| Regency & West of England Building Society and Portman Wessex Building Society | merged to form | Portman Building Society | in 1990 |
| Hendon Building Society | was taken over by | Bradford & Bingley Building Society | in 1991 |
| Haywards Heath Building Society | merged with the | Yorkshire Building Society | in 1992 |
| Cheshunt Building Society | merged with the | Bristol and West Building Society | in 1992 |
| Heart of England Building Society | merged with the | Cheltenham & Gloucester Building Society | in 1993 |
| St. Pancras Building Society | merged with the | Portman Building Society | in 1993 |
| Leeds Permanent Building Society | merged with the | Halifax Building Society | in 1995 |
| City & Metropolitan Building Society | merged with the | Stroud & Swindon Building Society | in 1996 |
| Nottingham Imperial Building Society | merged with the | Newcastle Building Society | in 2000 |
| Gainsborough Building Society | merged with the | Yorkshire Building Society | in 2001 |
| Ilkeston Permanent Building Society | merged with the | Derbyshire Building Society | in 2001 |
| Clay Cross Building Society | merged with the | Derbyshire Building Society | in 2003 |
| Staffordshire Building Society | merged with the | Portman Building Society | in 2003 |
| Lambeth Building Society | merged with the | Portman Building Society | in 2006 |
| Mercantile Building Society | merged with the | Leeds Building Society | in 2006 |
| Universal Building Society | merged with the | Newcastle Building Society | in 2006 |
| Portman Building Society | merged with the | Nationwide Building Society | in 2007 |
| Cheshire Building Society | merged with the | Nationwide Building Society | in 2008 |
| Derbyshire Building Society | merged with the | Nationwide Building Society | in 2008 |
| Barnsley Building Society | merged with the | Yorkshire Building Society | in 2008 |
| Catholic Building Society | merged with the | Chelsea Building Society | in 2008 |
| Scarborough Building Society | merged with the | Skipton Building Society | in 2009 |
| Dunfermline Building Society | most assets and liabilities transferred to | Nationwide Building Society | in 2009 |
| Britannia Building Society | acquired by | The Co-operative Bank | in 2009 [21] |
| Chelsea Building Society | merged with the | Yorkshire Building Society | in 2010 |
| Chesham Building Society | merged with the | Skipton Building Society | in 2010 |
| Stroud & Swindon Building Society | merged with the | Coventry Building Society | in 2010 |
| Kent Reliance Building Society | acquired by | OneSavings Plc to form OneSavings Bank | in 2011 |
| Norwich and Peterborough Building Society | merged with the | Yorkshire Building Society | in 2011 |
| Century Building Society | merged with the | Scottish Building Society | in 2013 |
| Shepshed Building Society | merged with the | Nottingham Building Society | in 2013 |
| City of Derry Building Society | merged with the | Progressive Building Society | in 2014 |
