# List of colleges and universities in Georgia ( U.S. state )
> Academics and reputation

| Institution | Type | Average SAT(CR+Math) score of entering freshman(2012) [12] | Average GPA of entering freshman(2012) [13] | 6-year graduation rates(2006-2012) [14] | First-time freshman retention rate (2012) [15] |
| --- | --- | --- | --- | --- | --- |
| Georgia Institute of Technology (Georgia Tech) | Public | 1385 e | 3.86 c | 82% | 96% |
| Emory University [16] | Private | 1365 e | 3.88 | 90% | 94% |
| University of Georgia (UGA) | Public | 1240 e | 3.76 d | 83% | 94% |
| Georgia College & State University (Georgia College or GCSU) | Public | 1172 | 3.42 | 75.46% | 85% |
| Mercer University [17] | Private | 1170 e | 3.56 | 64% | 82% |
| Berry College [18] | Private | 1160 | 3.56 | 61% | 75% |
| Agnes Scott College | Private | 1160 e | 3.88 | 64% | 82% |
| University of North Georgia (UNG) | Public | 1117 | 3.51 | 63.08% | 78% |
| Georgia Southern University (GA Southern/GSU) | Public | 1115 | 3.18 | 60.51% | 77% |
| Oglethorpe University [19] | Private | 1113 e | 3.4 | 56% | 80% |
| 4-year institution USG average | Public(all USG schools are public schools) | 1110 | 3.12 |  | 74% |
| Kennesaw State University (KSU) f | Public | 1089 | 3.20 | 51.47% | 76% |
| Georgia State University (GSU) | Public | 1082 | 3.33 | 57.77% | 83% |
| Morehouse College [20] | Private | 1025 | 3.24 | 55% | 82% |
| Spelman College [21] | Private | 1020 | 3.63 | 72% | 90% |
| Armstrong Atlantic State University | Public | 1016 | 3.16 | 40.86% | 69% |
| Valdosta State University | Public | 1015 | 3.12 | 52.32% | 67% |
| National average |  | 1010 [22] |  | 58% [23] | 77.1% [24] |
| Columbus State University | Public | 987 | 3.10 | 41.35% | 67% |
| Georgia Southwestern State University | Public | 987 | 3.23 | 39.85% | 63% |
| University of West Georgia | Public | 965 | 3.08 | 46.40% | 70 |
| Clayton State University | Public | 947 | 3.22 | 36.96% | 66% |
| Albany State University | Public | 890 | 2.92 | 46.01% | 65% |
| Clark Atlanta University [25] | Private | 880 | 3.0 | 39% | 61% |
| Savannah State University | Public | 867 | 2.74 | 38.02% | 72% |
| Fort Valley State University | Public | 844 | 2.76 | 33.82% | 60% |
| Paine College [26] | Private | 775 | 2.64 | Not reported | 52% |
