# List of London railway stations
> Busiest stations by yearly passenger traffic

| Rank | Station | Yearly passengers |
| --- | --- | --- |
| 1 | Waterloo | 98,442,742 |
| 2 | Victoria | 81,356,330 |
| 3 | Liverpool Street | 63,004,002 |
| 4 | London Bridge | 56,442,044 |
| 5 | Euston | 41,911,706 |
| 6 | Charing Cross | 40,170,074 |
| 7 | Paddington | 35,093,628 |
| 8 | King's Cross | 29,823,715 |
| 9 | Stratford | 26,377,506 |
| 10 | St. Pancras | 26,046,082 |
| 11 | Clapham Junction | 25,287,250 |
| 12 | East Croydon | 21,797,189 |
| 13 | Cannon Street | 20,689,022 |
| 14 | Vauxhall | 19,401,716 |
| 15 | Wimbledon | 19,302,216 |
| 16 | Fenchurch Street | 18,244,526 |
| 17 | Highbury & Islington | 15,840,018 |
| 18 | Marylebone | 15,520,762 |
| 19 | Blackfriars | 14,412,166 |
| 20 | Putney | 10,933,750 |
| 21 | Richmond | 9,533,696 |
| 22 | Surbiton | 9,206,902 |
| 23 | Moorgate | 9,051,956 |
| 24 | Lewisham | 8,669,820 |
| 25 | Barking | 8,330,632 |
