# Calories in Homemade Dishes (Typical Home-Cooked Portions)

| Dish | Typical Home Recipe Portion | Calories (kcal) | Notes |
|---|---|---:|---|
| Spaghetti with marinara | 1 bowl (about 2 cups) | 420 | depends on pasta brand |
| Chicken stir-fry | 1 plate (about 2 cups) | 520 | varies by oil used |
| Beef chili | 1 cup | 290 | toppings not included |
| Caesar salad | 1 large bowl | 560 | dressing amount changes |
| Pancakes | 3 medium pancakes | 510 | syrup extra |
| Fried rice | 1.5 cups | 530 | depends on egg/meat |
| Vegetable curry | 1.5 cups | 410 | coconut milk changes value |
| Burrito bowl | 1 bowl | 650 | highly variable |
| Mac and cheese | 1 cup | 350 | cheese ratio varies |
| Banana smoothie | 16 fl oz | 380 | add-ins vary |
