# Megapixels to Pixel Dimensions Crosswalk (Typical 3 2 Digital Camera Outputs)

| Megapixels (MP) | Typical Photo Resolution (pixels) | Category / Notes |
| --- | --- | --- |
| 6.0 | 3008 × 2000 | Entry-level DSLR era 3:2 output |
| 8.0 | 3456 × 2304 | Common 3:2 “8MP” size |
| 10.0 | 3872 × 2592 | Many early DSLRs |
| 12.0 | 4288 × 2848 | Typical 12MP 3:2 output |
| 14.0 | 4592 × 3056 | Often used in APS-C cameras |
| 16.0 | 4928 × 3264 | Mid-range APS-C output |
| 18.0 | 5184 × 3456 | Popular APS-C maximum for a generation |
| 20.0 | 5472 × 3648 | Higher-resolution APS-C / mirrorless |
| 24.0 | 6000 × 4000 | Very common modern 24MP output |
| 30.0 | 6720 × 4480 | High-res 3:2 stills |
| 36.0 | 7360 × 4912 | Full-frame high-res class |
| 45.0 | 8256 × 5504 | Modern full-frame high-res class |
