# Tuition and Mandatory Fees by Residency Status — Great Plains State University (Undergraduate, 2024–2025)

| Charge Component | In-State (Resident) | Out-of-State (Non-Resident) | Notes |
| --- | ---: | ---: | --- |
| Base tuition (per credit hour) | $312 | $918 | Billed by enrolled credits |
| Full-time tuition cap (12–18 credits/term) | $3,744 | $11,016 | Applies to standard fall/spring term |
| Mandatory university fee (per term) | $485 | $485 | Same for all undergraduates |
| Technology fee (per term) | $120 | $120 | Required |
| Student activity fee (per term) | $95 | $95 | Required |
| Total mandatory fees (per term) | $700 | $700 | Sum of required fees above |
| Estimated total for 15 credits (tuition + mandatory fees) | $5,380 | $14,470 | Tuition uses per-credit rate (15 credits) + fees |
| Estimated annual total (30 credits + 2 terms of fees) | $10,760 | $28,940 | Excludes housing, meals, books |
| Non-resident tuition differential (per credit hour) | — | +$606 | Increment above resident tuition |
| Tuition & mandatory fees (resident vs non-resident) | Resident: explicit | Non-resident: explicit | Side-by-side comparison enabled |
