# Cooked Leftovers Storage Times (Fridge vs Freezer)

| Cooked item (leftovers) | Refrigerator (40°F / 4°C) | Freezer (0°F / -18°C) | Notes |
| --- | --- | --- | --- |
| Cooked rice (white or brown) | 4–6 days | 2–6 months | Cool quickly; store in shallow containers |
| Cooked pasta (plain) | 3–5 days | 1–2 months | Sauce can change freezing time |
| Cooked beans or lentils | 3–5 days | 2–3 months | Keep covered to prevent drying |
| Cooked chicken pieces (roasted/poached) | 3–4 days | 2–6 months | Slice before freezing for faster thawing |
| Cooked ground meat (beef/turkey) | 3–4 days | 2–3 months | Drain fat before storing |
| Cooked fish (baked/grilled) | 3–4 days | 2–3 months | Best quality if frozen sooner |
| Cooked soup or stew (meat/vegetable) | 3–4 days | 2–3 months | Leave headspace when freezing |
| Cooked casserole (fully cooked) | 3–4 days | 2–3 months | Wrap tightly to avoid freezer burn |
| Cooked pizza slices | 3–4 days | 1–2 months | Reheat until hot throughout |
| Cooked vegetables (leftover side dish) | 3–5 days | 2–3 months | Texture may soften after freezing |
