# Boxing Union of Ireland
> History of Irish champions

| Name | Duration of reign | Defences |
| --- | --- | --- |
| Terry Magee | 23 June 1987 – (Vacated) | 0 |
| Jim Webb | 03 December 1998 – (Vacated) | 0 |
| Jim Rock | 15 April 2000 – (Vacated) | 0 |
| Ciaran Healy | 08 December 2007 – 05 July 2008 | 0 |
| Jamie Moore | 05 July 2008 – (Vacated) | 0 |
| Neil Sinclair | 15 May 2009 – (Vacated) | 0 |
| Lee Murtagh | 21 July 2012 – (Vacated) | 1 |
| Peter McDonagh | 15 March 2014 – (Vacated) | 1 |
| Dee Walsh | 22 November 2014 – (Vacated) | 0 |
| Paul Upton | 23 April 2016 – present | 0 |
