# Roman Catholic Archdiocese of Manila
> Parishes

| Name of Parish | Administered | Address | Feast Day | Parish Priest |
| --- | --- | --- | --- | --- |
| Archdiocesan Shrine of Jesus the Way, the Truth, and the Life |  | SM Mall of Asia Complex, Coral Way, Reclamation Area, Pasay City | October 26 | Rev. Msgr. Roberto C. Canlas, PC |
| Mary, Comforter of the Afflicted Parish |  | St. Peter St., Maricaban, Pasay City | August 28 | Rev. Fr. Russel G. Ocampo |
| Our Lady of Fatima Parish (Don Carlos) |  | Comet St., Don Carlos Village, Pasay City | May 13 | Rev. Fr. Michael D. Kalaw |
| Our Lady of Sorrows Parish | Society of St. Paul | 2130 F.B. Harrison St., Pasay City | September 15 | Rev. Fr. Feliciano P. Marquez, Jr., SSP |
| Our Lady of the Airways Parish |  | 1 Chapel Road cor. NAIA Road, Pasay City | Second Sunday of May | Rev. Msgr. Modesto M. Teston.,PC |
| Our Lady of the Blessed Sacrament Parish |  | Teachers' Bliss, Kalayaan Village Pasay City | Second Sunday of May | Rev. Fr. Domingo Asuncion |
| San Isidro Labrador Parish |  | Taft Ave., Pasay City | May 15 | Rev. Fr. Macias Wency D. Serafica |
| San Juan Nepomuceno Parish |  | Clemente Jose St., Malibay, Pasay City | May 16 | Rev. Fr. Edgardo C. Coroza |
| San Rafael Parish (Park Avenue) |  | Park Ave., Pasay City | Last Sunday of September | Rev. Fr. Reynaldo B. Bungay |
| San Roque Parish (Cabrera) |  | Cabrera St., Pasay City | August 16 | Rev. Fr. Paschal Ma. R. Gorgoña |
| Santa Clara de Montefalco Parish |  | P. Burgos St., Pasay | August 17 | Rev. Fr. Nicardo P. Blanquisco |
