# Colleges You Can Get Into with a 2.7 GPA (Comparable School List Driven by GPA)

| School | Sector | Typical Admitted GPA (Middle 50%) | GPA Likelihood for 2.7 | Test Policy (Summary) |
| --- | --- | --- | --- | --- |
| University of Maine | Public | 2.60–3.30 | Target | Test-optional for many applicants |
| University of Louisiana at Lafayette | Public | 2.50–3.20 | Target | Test-optional in some cycles |
| Southern Illinois University Carbondale | Public | 2.40–3.20 | Target | Test-optional options available |
| Texas State University | Public | 2.80–3.60 | Reach/Target | Test policy varies by program |
| University of Wisconsin–Stevens Point | Public | 2.60–3.30 | Target | Test-optional pathways |
| University of North Alabama | Public | 2.30–3.10 | Likely/Target | Test scores can help for scholarships |
| Eastern Michigan University | Public | 2.70–3.50 | Target/Reach | Some majors more selective |
| Georgia Southwestern State University | Public | 2.30–3.10 | Likely/Target | Holistic review common |
| California State University, Dominguez Hills | Public | 2.50–3.20 | Target | CSU eligibility/index context |
| Pace University | Private | 2.80–3.60 | Reach/Target | Test-optional; GPA/rigor important |
