# Ancient Egyptian Deities Reference (Name, Domain, Key Associations)

| Deity | Type | Domain / What they are of | Key associations (short) |
| --- | --- | --- | --- |
| Amun | God | Air, hiddenness, kingship | The "Hidden One"; later fused with Ra (Amun-Ra) |
| Anubis | God | Mummification, funerary rites | Jackal-linked guardian of embalming |
| Bastet | Goddess | Protection, home, cats | Household guardian; feline symbolism |
| Hathor | Goddess | Love, beauty, music | Also linked with motherhood and joy |
| Horus | God | Sky, kingship | Falcon-linked; protector of the pharaoh |
| Isis | Goddess | Magic, motherhood, protection | Powerful healer; protective spells |
| Ma'at | Goddess | Truth, balance, cosmic order | Personification of justice and order |
| Osiris | God | Afterlife, resurrection | Ruler of the underworld; rebirth symbolism |
| Ptah | God | Creation, craftsmanship | Patron of artisans; creative speech/thought |
| Ra | God | Sun | Solar deity; daily cycle of the sun |
| Sekhmet | Goddess | War, plague, healing | Lioness-linked; destructive and restorative |
| Thoth | God | Writing, knowledge, wisdom | Scribe of the gods; ibis/baboon symbolism |
