# University System of Georgia
> List of institutions

| Institution | Average SAT(CR+Math) score of entering freshman(2012) [21] | Average GPA of entering freshman(2012) [22] | Average acceptance rate(2012) [23] | 6-year graduation rates(2006-2012) [24] | First-time freshman retention rate (2012) [23] |
| --- | --- | --- | --- | --- | --- |
| Georgia Institute of Technology (Georgia Tech) | 1365 e | 3.76 c | 55% | 80.75% | 95% |
| University of Georgia (UGA) | 1238 e | 3.76 d | 56% | 83.92% | 94% |
| Georgia College and State University (Georgia College or GCSU) | 1160 | 3.42 | Not reported | 75.46% | 86% |
| Southern Polytechnic State University (SPSU) | 1141 | 3.28 | 79% | 48.75% | 75% |
| University of North Georgia (UNG) | 1117 | 3.51 | 56% | 63.08% | 78% |
| Georgia Southern University (GA Southern) | 1115 | 3.18 | 52% | 60.51% | 77% |
| 4-year institution USG average | 1110 | 3.12 |  |  | 74% |
| Kennesaw State University (KSU) | 1089 | 3.20 | 57% | 51.47% | 76% |
| Georgia State University (GSU) | 1082 | 3.33 | 57% | 57.77% | 83% |
| Armstrong Atlantic State University | 1016 | 3.16 | 70% | 40.86% | 69% |
| Valdosta State University | 1015 | 3.12 | 59% | 52.32% | 67% |
| National average | 1010 [25] |  |  | 58% [26] | 77.1% [27] |
| Columbus State University | 987 | 3.10 | 53% | 41.35% | 67% |
| Georgia Southwestern State University | 987 | 3.23 | 66% | 39.85% | 63% |
| Augusta State University | 985 | 3.03 | 54% | 33.96% | 67% |
| University of West Georgia | 965 | 3.08 | 56% | 46.40% | 70% |
| Clayton State University | 947 | 3.0 | 39% | 36.96% | 66% |
| Albany State University | 890 | 2.92 | 29% | 46.01% | 65% |
| Savannah State University | 867 | 2.74 | Not reported | 38.02% | 72% |
| Fort Valley State University | 844 | 2.76 | 41% | 33.82% | 60% |
