# Office of the Secretary of Defense
> Major reorganizations

| Previous Office Title | New Office Title | Reports To | Requires Senate Confirmation? |
| --- | --- | --- | --- |
| New position | ASD for Acquisition | USD(AT&L) | Yes |
| DUSD for Industrial Policy | DASD for Manufacturing and Industrial Base | ASD for Acquisition | No |
| DUSD for Logistics and Material Readiness | ASD for Logistics and Material Readiness | USD(AT&L) | Yes |
| Director of Operational Energy Plans and Programs | ASD for Operational Energy Plans and Programs | USD(AT&L) | Yes |
| Assistant to the Secretary of Defense for Nuclear and Chemical and Biological Defense Programs | ASD for Nuclear, Chemical, and Biological Defense Programs | USD(AT&L) | Yes |
| Director of Defense Research and Engineering | ASD for Research and Engineering (R&E) | USD(AT&L) | Yes |
| Director of Developmental Test and Evaluation | DASD for Developmental Test and Evaluation | ASD(R&E) | No |
| Director of Systems Engineering | DASD for Systems Engineering | ASD(R&E) | No |
| New position | ASD for Readiness and Force Management (R&FM) | USD(P&R) | Yes |
| DUSD for Civilian Personnel Policy | DASD for Civilian Personnel Policy | ASD for Readiness and Force Management (R&FM) | No |
| DUSD for Military Community and Family Policy | DASD for Military Community and Family Policy | ASD for Readiness and Force Management (R&FM) | No |
| DUSD for Military Personnel Policy | DASD for Military Personnel Policy | ASD for Readiness and Force Management (R&FM) | No |
| DUSD for Readiness | DASD for Readiness | ASD for Readiness and Force Management (R&FM) | No |
| DUSD for Wounded Warrior Care and Transition Policy | DASD for Wounded Warrior Care and Transition Policy | ASD for Readiness and Force Management (R&FM) | No |
| DUSD for Joint & Coalition Warfighter Support | DUSD for Warfighter Support & Operations | Under Secretary of Defense for Intelligence | No |
| DUSD for Technical Collection & Analysis and HUMINT, Counterintel & Security | DUSD for Intelligence & Security | Under Secretary of Defense for Intelligence | No |
| DUSD for Portfolio Programs & Resources | DUSD for Military Intelligence Program & Planning | Under Secretary of Defense for Intelligence | No |
| DUSD for Science and Technology | Eliminated | - | n/a |
| DUSD for Advanced Systems and Concepts | Eliminated | - | n/a |
