# Time Zone News Digest  Clock Changes and Policy Announcements (2016–2017)

| Date | Location | Headline | Category | Details |
|---|---|---|---|---|
| 2016-02-17 | Astrakhan, Russia | Region moves to a new UTC offset | Time zone change | Local authorities approve permanent offset shift |
| 2016-03-12 | Haiti | No clock change planned this year | DST decision | Government delays seasonal adjustment |
| 2016-04-29 | Egypt | DST to return in July 2016 | DST announcement | Ministry announces planned reintroduction |
| 2016-10-20 | Turkey | Summer time kept year-round | DST policy | Permanent daylight time adopted |
| 2017-02-01 | Chile | DST schedule debated in parliament | DST debate | Proposal to modify seasonal switch |
| 2017-03-25 | EU | Reminder: clocks change this weekend | DST reminder | General advisory for residents |
| 2017-08-10 | Mexico (border) | Border region aligns with US rules | Regional alignment | Announcement without full schedule table |
| 2017-11-05 | United States | End of DST occurs overnight | Event note | News blurb, not a country-by-country schedule |
| 2017-12-15 | Egypt | Government reviews DST impacts | Policy review | Discussion of energy savings |
| 2017-12-28 | Brazil | Proposal to shorten DST period | Legislative update | Draft bill mentioned |
| 2017-12-31 | Morocco | Ramadan time adjustments announced | Exception | Temporary rollback mentioned |
| 2017-01-10 | Australia (Queensland) | State declines DST trial | Local decision | No statewide adoption |
