# PNC Bank Routing Numbers by State (ABA)

| State | Routing Number (ABA) | Notes |
| --- | --- | --- |
| Alabama | 062001186 | Personal/Business checking |
| Delaware | 031100089 | Standard routing |
| Florida | 267084199 | Standard routing |
| Georgia | 061092387 | Standard routing |
| Illinois | 071921891 | Standard routing |
| Indiana | 071921891 | Standard routing |
| Kentucky | 083000108 | Standard routing |
| Maryland | 054000030 | Standard routing |
| Michigan | 041000124 | Standard routing |
| New Jersey | 031207607 | Standard routing |
| New York | 043000096 | Standard routing |
| North Carolina | 053100850 | Standard routing |
| Ohio | 042000398 | Standard routing |
| Pennsylvania | 031000053 | Standard routing |
| Virginia | 054000030 | Standard routing |
| Washington, DC | 054000030 | Standard routing |
