# LGBT characters and where they appear (combined project title column)

| Character | Appears In (Show/Film) | Identity | Medium |
| --- | --- | --- | --- |
| Captain Raymond Holt | Brooklyn Nine-Nine | Gay | TV series |
| Rosa Diaz | Brooklyn Nine-Nine | Bisexual | TV series |
| Lafayette Reynolds | true Blood | Gay | TV series |
| Sara Lance | DC's Legends of Tomorrow | Bisexual | TV series |
| Blanca Rodriguez | Pose | Transgender woman | TV series |
| Patrick | Schitt's Creek | Gay | TV series |
| Elio Perlman | Call Me by Your Name | Gay | Film |
| Dani Clayton | The Haunting of Bly Manor | Lesbian | TV limited series |
| Chiron | Moonlight | Gay | Film |
