# Bottled Water pH Entries (with Acid Base Primer and Definitions)

| Section | Term/Brand | pH | Explanation |
|---|---|---:|---|
| Definition | Acidic | < 7 | Higher H+ concentration |
| Definition | Neutral | 7 | Baseline reference |
| Definition | Basic (Alkaline) | > 7 | Lower H+ concentration |
| Brand | Fiji | 7.2 | Listed brand pH |
| Brand | Evian | 7.0 | Listed brand pH |
| Brand | VOSS | 7.3 | Listed brand pH |
| Brand | Poland Spring | 6.3 | Listed brand pH |
| Brand | Perrier | 5.5 | Listed brand pH |
| Brand | Essentia | 9.0 | Listed brand pH |
