# Super Smash Bros. Series Fighters — Franchise Universe Roster Reference

| Fighter | Universe/Series | First Appearance | Fighter Type | Notes |
| --- | --- | --- | --- | --- |
| Cloud | Final Fantasy | Final Fantasy VII | Guest | Crossover character |
| Rosalina | Super Mario | Super Mario Galaxy | Nintendo | Uses Luma mechanics |
| Sheik | The Legend of Zelda | Ocarina of Time | Nintendo | Alter-ego of Zelda |
| Zero Suit Samus | Metroid | Metroid: Zero Mission | Nintendo | Alternate form |
| Captain Falcon | F-Zero | F-Zero | Nintendo | Falcon Punch |
| Ness | EarthBound | EarthBound | Nintendo | PSI abilities |
| Falco | Star Fox | Star Fox | Nintendo | Blaster-focused |
| Mewtwo | Pokémon | Pokémon Red/Blue | Nintendo | Legendary Pokémon |
| Luigi | Super Mario | Mario Bros. | Nintendo | Brother of Mario |
| Jigglypuff | Pokémon | Pokémon Red/Blue | Nintendo | Sleep-based moveset |
