# SkyBridge Airlines — Aircraft Register (Tail-number List)

| Tail number | Aircraft model | Variant/engine | Delivered | Status | Notes |
| --- | --- | --- | --- | --- | --- |
| N721SB | Boeing 737-700 | CFM56-7B | 2008-05 | Active | Wi-Fi equipped |
| N738SB | Boeing 737-800 | CFM56-7B | 2011-09 | Active | Split scimitar winglets |
| N552SB | Airbus A320-214 | CFM56-5B4 | 2006-02 | Active | Sharklets retrofit |
| N319SB | Airbus A319-132 | IAE V2522-A5 | 2004-11 | Active | ETOPS capable |
| N771SB | Boeing 777-200ER | GE90-94B | 2002-08 | Stored | Returning from lease |
| N332SB | Airbus A330-300 | Trent 772B | 2013-03 | Active | Long-haul configuration |
| N788SB | Boeing 787-8 | GEnx-1B | 2016-12 | Active | New cabin 2023 |
| N461SB | Embraer E190 | CF34-10E | 2009-06 | Retired | Parted out |
| N611SB | ATR 72-600 | PW127M | 2018-04 | Active | Regional routes |
