# Jacket Fit Finder (Height Weight-Based Recommendations)

| Body Profile | Height | Weight | Suggested Jacket Size | Fit Notes |
| --- | --- | --- | --- | --- |
| Petite Slim | 150–158 cm | 40–48 kg | XS | Best for narrow shoulders |
| Petite Regular | 150–158 cm | 49–58 kg | S | Allows light layering |
| Average Slim | 159–168 cm | 49–58 kg | S | Close fit |
| Average Regular | 159–168 cm | 59–70 kg | M | Standard fit |
| Tall Slim | 169–180 cm | 59–70 kg | M | Longer sleeves recommended |
| Tall Regular | 169–180 cm | 71–84 kg | L | Comfortable over a sweater |
| Tall Broad | 169–185 cm | 85–98 kg | XL | Roomy through chest |
| Plus Regular | 155–170 cm | 99–120 kg | 2XL | Consider relaxed cut |
| Plus Tall | 171–185 cm | 99–120 kg | 3XL | Extra length in torso |
