# Great Lakes (Canada) Wreck Incidents — Chronological Log with Loss Circumstances

| Date | Vessel | Lake/Waterway (Canada) | Nearby Canadian location | Cause / circumstances | What happened |
| --- | --- | --- | --- | --- | --- |
| 1869-11-10 | Schooner Jane Miller | Lake Erie | Off Pelee Island, Ontario | Foundered in gale | Overwhelmed by storm; sank with cargo |
| 1873-10-20 | Steamer Asia | Lake Erie | Near Long Point, Ontario | Collision (night navigation) | Struck another vessel; took on water and sank |
| 1881-09-08 | Schooner Mary B. Mitchell | Lake Huron | Near Tobermory, Ontario | Grounding on shoals | Holed on rocks; became total loss |
| 1892-11-12 | Steamer Manitoba | Lake Superior | Near Thunder Bay, Ontario | Fire on board | Fire spread; abandoned and burned to the waterline |
| 1909-10-06 | Freighter Algoma | Lake Superior | Near Michipicoten, Ontario | Grounding during storm/snow | Driven onto rocks; wrecked with fatalities |
| 1913-11-10 | Freighter Regina | Lake Huron | Off Goderich, Ontario | Foundered in severe storm | Broke up and sank in the Great Lakes storm |
| 1923-07-22 | Freighter Hesper | St. Lawrence River | Near Québec City, Québec | Collision with river traffic | Hull breached; sank in channel |
| 1934-05-16 | Freighter Glencairn | Lake Ontario | Near Kingston, Ontario | Fire/explosion in cargo hold | Severe damage; sank after onboard blast |
| 1958-11-06 | Tugboat Northwind | Detroit River | Near Windsor, Ontario | Collision with freighter | Capsized after impact; crew rescued |
| 1972-08-14 | Barge Bayfield | Georgian Bay | Near Parry Sound, Ontario | Foundering (structural failure) | Took on water; sank at anchor/under tow |
