# Athletes in Action / Bart Starr Award
> Bart Starr Award winners

| Year | Player | Position | Team |
| --- | --- | --- | --- |
| 1989 [1] | Steve Largent | Wide Receiver | Seattle Seahawks |
| 1990 | Anthony Munoz | Offensive Tackle | Cincinnati Bengals |
| 1991 | Mike Singletary | Linebacker | Chicago Bears |
| 1992 | Reggie White | Defensive End | Philadelphia Eagles |
| 1993 | Gill Byrd | Cornerback | San Diego Chargers |
| 1994 | Warren Moon | Quarterback | Houston Oilers |
| 1995 | Cris Carter | Wide Receiver | Minnesota Vikings |
| 1996 | Jackie Slater | Offensive Tackle | St. Louis Rams |
| 1997 | Darrell Green | Cornerback | Washington Redskins |
| 1998 | Irving Fryar Brent Jones | Wide Receiver Tight End | Philadelphia Eagles San Francisco 49ers |
| 1999* | Eugene Robinson | Safety | Atlanta Falcons |
| 2000 | Aeneas Williams | Cornerback | Arizona Cardinals |
| 2001 | Bruce Matthews | Offensive Line | Tennessee Titans |
| 2002 | Darren Woodson | Safety | Dallas Cowboys |
| 2003 | Trent Dilfer | Quarterback | Seattle Seahawks |
| 2004 | Derrick Brooks | Linebacker | Tampa Bay Buccaneers |
| 2005 | Troy Vincent | Cornerback | Buffalo Bills |
| 2006 | Curtis Martin | Running Back | New York Jets |
| 2007 | John Lynch | Safety | Denver Broncos |
| 2008 | LaDainian Tomlinson | Running Back | San Diego Chargers |
| 2009 | Warrick Dunn | Running Back | Tampa Bay Buccaneers |
| 2010 | Kurt Warner | Quarterback | Arizona Cardinals |
| 2011 [2] | Drew Brees | Quarterback | New Orleans Saints |
| 2012 [3] | London Fletcher | Linebacker | Washington Redskins |
| 2013 | Jason Witten | Tight End | Dallas Cowboys |
| 2014 [4] | Aaron Rodgers | Quarterback | Green Bay Packers |
| 2015 [5] | Peyton Manning | Quarterback | Denver Broncos |
| 2016 [6] | Thomas Davis | Linebacker | Carolina Panthers |
