# Capital Gains Tax by State — Effective Rate at Typical Income Levels (No Holding-Period Split)

| State | Estimated Effective Capital Gains Rate (Middle-Income Investor) | Assumed Filing Status | Assumed Gain Amount | Notes |
|---|---:|---|---:|---|
| California | 28.5% | Single | $50,000 | Includes federal + state estimate |
| New York | 27.9% | Single | $50,000 | Includes federal + state estimate |
| Minnesota | 26.8% | Single | $50,000 | Includes federal + state estimate |
| Hawaii | 26.4% | Single | $50,000 | Includes federal + state estimate |
| Georgia | 24.7% | Single | $50,000 | Includes federal + state estimate |
| Massachusetts | 25.1% | Single | $50,000 | Includes federal + state estimate |
| Illinois | 24.3% | Single | $50,000 | Includes federal + state estimate |
| Nevada | 21.8% | Single | $50,000 | No state income tax |
| Texas | 21.8% | Single | $50,000 | No state income tax |
