# State-by-State Governor Term Limits with Notable Long-Serving Governors (Mixed Rule + People)

| State | Term-Limit Rule (Summary) | Notable Governor | Years in Office | Why Notable |
| --- | --- | --- | --- | --- |
| Texas | No term limits | Rick Perry | 2000–2015 | Longest-serving in state history |
| California | 2 terms (total) | Jerry Brown | 1975–1983; 2011–2019 | Served maximum under prior rules |
| Florida | 2 consecutive terms | Jeb Bush | 1999–2007 | Left after two consecutive terms |
| New York | No term limits | George Pataki | 1995–2006 | Three terms during modern era |
| Virginia | 1 term, no consecutive | Bob McDonnell | 2010–2014 | One-term tradition reinforced |
| New Jersey | 2 consecutive terms | Chris Christie | 2010–2018 | Two consecutive terms completed |
| Michigan | 2 terms (lifetime) | Jennifer Granholm | 2003–2011 | Two-term service |
| Oregon | No term limits | Tom McCall | 1967–1975 | Led during major reforms |
| Arizona | 2 consecutive terms | Jan Brewer | 2009–2015 | Elected after succession |
| Illinois | No term limits | Jim Thompson | 1977–1991 | Four terms |
