# Prenatal Screening Panel  Aneuploidy Risk Markers and Example Syndromes

| Marker/Test | Typical result pattern | Suggested condition(s) | Chromosome note | Confirmatory method |
|---|---|---|---|---|
| Maternal serum AFP | Low | Trisomy 21 (Down syndrome) | Chr 21 | Amniocentesis + karyotype |
| Maternal serum AFP | Very low | Trisomy 18 (Edwards syndrome) | Chr 18 | CVS + karyotype |
| Free β-hCG | High | Trisomy 21 (Down syndrome) | Chr 21 | NIPT |
| Free β-hCG | Low | Trisomy 18 (Edwards syndrome) | Chr 18 | NIPT |
| Unconjugated estriol (uE3) | Low | Trisomy 18; Smith-Lemli-Opitz syndrome | Chr 18 / metabolic | Targeted sequencing |
| Inhibin A | High | Trisomy 21 (Down syndrome) | Chr 21 | NIPT |
| Nuchal translucency (US) | Increased | Turner syndrome; Trisomy 13/18/21 | X / 13/18/21 | Diagnostic karyotype |
| Cell-free DNA (NIPT) | High-risk call | Common trisomies | 13/18/21 | Invasive confirmation |
| Serum PAPP-A | Low | Trisomy 21; placental dysfunction | Chr 21 (screening) | Follow-up imaging |
| Quad screen (combined) | High-risk score | Aneuploidy risk category | 13/18/21/X | Genetic counseling |
