# Geographic Distinctions for Early U.S. Presiding Figures — Cities Districts Instead of States

| # | Name | Primary City Associated | County/District | Meeting Location Linked | Context |
|---:|---|---|---|---|---|
| 1 | Peyton Randolph | Williamsburg | Virginia colony government district | Philadelphia | Early continental leadership |
| 2 | Henry Middleton | Charleston | Lowcountry district | Philadelphia | Early congress presiding |
| 3 | John Hancock | Boston | Suffolk County | Philadelphia | Wartime presiding period |
| 4 | Henry Laurens | Charleston | Charleston District | Philadelphia | Served as presiding officer |
| 5 | John Jay | New York City | New York County | Philadelphia | Presiding role before diplomacy |
| 6 | Samuel Huntington | Norwich | New London County | Philadelphia | Presided during Articles era |
| 7 | Thomas McKean | New Castle | New Castle County | Philadelphia | Acting presiding interval |
| 8 | John Hanson | Frederick | Frederick County | Philadelphia | Confederation-era presiding |
| 9 | Elias Boudinot | Princeton | Somerset/Mercer area | Princeton | Presiding and later public service |
