# Black Panther (2018) — Film Soundtrack Songs (Song-by-Song List)

| Track No. | Song Title | Artist / Performer | Notes |
| ---: | --- | --- | --- |
| 1 | Black Panther | Kendrick Lamar | Album intro / theme cut |
| 2 | All the Stars | Kendrick Lamar & SZA | Lead single; end credits placement |
| 3 | X | Schoolboy Q, 2 Chainz & Saudi | Party/club energy track |
| 4 | The Ways | Khalid & Swae Lee | Melodic mid-tempo track |
| 5 | Opps | Vince Staples & Yugen Blakrok | Action-oriented cue |
| 6 | I Am | Jorja Smith | Vocal feature track |
| 7 | Paramedic! | SOB X RBE | High-energy ensemble cut |
| 8 | Bloody Waters | Ab-Soul, Anderson .Paak & James Blake | Darker, cinematic track |
| 9 | King’s Dead | Jay Rock, Kendrick Lamar, Future & James Blake | Major single from soundtrack |
| 10 | Redemption | Zacari & Babes Wodumo | Afrobeats-influenced collaboration |
| 11 | Pray for Me | The Weeknd & Kendrick Lamar | Single used for marketing/end credits |
| 12 | Big Shot | Kendrick Lamar & Travis Scott | Aggressive hype track |
| 13 | Seasons | Mozzy, Sjava & Reason | International feature lineup |
| 14 | I’ll Find You | Lecrae | Inspirational/reflective cut |
| 15 | Congo | Yugen Blakrok | Closing thematic track |
