# Stock Exchanges Grouped by Country (Country-first Index)

| Country | Exchange | Abbreviation | Headquarters City | Ownership/Operator Type | Tier |
| --- | --- | --- | --- | --- | --- |
| United States | Cboe BZX Exchange | BZX | Chicago | Exchange operator (Cboe Global Markets) | National exchange |
| United States | NYSE American | NYSEAMER | New York | Exchange operator (NYSE/ICE) | National exchange |
| Brazil | B3 (Brasil Bolsa Balcão) | B3 | São Paulo | Integrated exchange & clearing | National exchange |
| Chile | Santiago Stock Exchange | BCS | Santiago | National exchange | National exchange |
| South Africa | Johannesburg Stock Exchange | JSE | Johannesburg | National exchange | National exchange |
| Saudi Arabia | Saudi Stock Exchange (Tadawul) | TADAWUL | Riyadh | National exchange | National exchange |
| United Arab Emirates | Nasdaq Dubai | NDAQD | Dubai | Exchange operator | Financial free-zone market |
| South Korea | Korea Exchange | KRX | Busan | National exchange | National exchange |
| Singapore | Singapore Exchange | SGX | Singapore | Listed exchange operator | National exchange |
| Switzerland | SIX Swiss Exchange | SIX | Zurich | Exchange operator (SIX Group) | National exchange |
| Sweden | Nasdaq Stockholm | OMX | Stockholm | Exchange operator (Nasdaq) | National exchange |
| Spain | Bolsa de Madrid | BME | Madrid | Exchange operator (BME/SIX) | National exchange |
