# New Hampshire Primary Elections — Winner-Focused Index (Year-by-Year, with Runners-up)

| Election cycle | Primary date | Contest type | Winner | Runner-up | Winner margin (pp) | Quick takeaway |
|---|---|---|---|---|---:|---|
| 2024 | January 23, 2024 | Republican | Donald Trump | Nikki Haley | 11.0 | Trump carried NH and strengthened frontrunner status |
| 2020 | February 11, 2020 | Democratic | Bernie Sanders | Pete Buttigieg | 1.3 | Narrow win in a fragmented field |
| 2016 | February 9, 2016 | Democratic | Bernie Sanders | Hillary Clinton | 22.5 | Sanders won decisively |
| 2016 | February 9, 2016 | Republican | Donald Trump | John Kasich | 19.5 | Trump won while the rest split the vote |
| 2012 | January 10, 2012 | Republican | Mitt Romney | Ron Paul | 16.4 | Romney won comfortably |
| 2012 | January 10, 2012 | Democratic | Barack Obama | (no major runner-up) | — | Incumbent effectively unopposed |
| 2008 | January 8, 2008 | Democratic | Hillary Clinton | Barack Obama | 2.6 | Clinton edged Obama in a close race |
| 2008 | January 8, 2008 | Republican | John McCain | Mitt Romney | 5.5 | McCain won and revived his campaign |
| 2004 | January 27, 2004 | Democratic | John Kerry | Howard Dean | 12.1 | Kerry’s NH win shifted momentum |
| 2004 | January 27, 2004 | Republican | George W. Bush | (no major runner-up) | — | Incumbent dominated |
| 1996 | February 20, 1996 | Republican | Pat Buchanan | Bob Dole | 0.2 | Very close upset-style result |
| 1992 | February 18, 1992 | Republican | Pat Buchanan | George H. W. Bush | 0.3 | Strong showing against an incumbent |
