# 2008 NASCAR Craftsman Truck Series
> Races

| Pos. | No. | Driver | Make | Team |
| --- | --- | --- | --- | --- |
| 1 | 51 | Kyle Busch | Toyota | Billy Ballew Motorsports |
| 2 | 30 | Todd Bodine | Toyota | Germain Racing |
| 3 | 23 | Johnny Benson | Toyota | Bill Davis Racing |
| 4 | 60 | Terry Cook | Toyota | Wyler Racing |
| 5 | 33 | Ron Hornaday | Chevrolet | Kevin Harvick Incorporated |
| 6 | 59 | Ted Musgrave | Toyota | HT Motorsports |
| 7 | 09 | Travis Kvapil | Ford | Roush Fenway Racing |
| 8 | 5 | Mike Skinner | Toyota | Bill Davis Racing |
| 9 | 16 | Brian Scott (R) | Chevrolet | Xpress Motorsports |
| 10 | 22 | Phillip McGilton (R) | Toyota | Bill Davis Racing |
