# State Debt Burden Comparison  Ranking by Debt per Capita (Top Bottom Mix)

| Rank (by debt per capita) | State | State debt per capita (USD/person) | Total state debt (USD) | Interpretation |
| ---: | --- | ---: | ---: | --- |
| 1 | Alaska | 34,800 | 25,000,000,000 | Very high burden per resident |
| 2 | Massachusetts | 31,400 | 220,000,000,000 | High per-capita despite smaller population |
| 3 | New York | 26,500 | 520,000,000,000 | High per-capita and high total |
| 4 | Washington | 21,500 | 170,000,000,000 | High per-capita burden |
| 5 | California | 20,450 | 778,000,000,000 | High total; per-capita still high |
| 6 | Nevada | 19,150 | 52,800,000,000 | Elevated per-capita |
| 7 | Colorado | 16,750 | 86,900,000,000 | Mid-to-high per-capita |
| 8 | Utah | 12,510 | 35,700,000,000 | Moderate per-capita |
| 9 | Florida | 11,560 | 260,000,000,000 | Lower burden per resident |
| 10 | Idaho | 9,460 | 15,100,000,000 | Low per-capita burden |
| 11 | Indiana | 7,090 | 46,400,000,000 | Very low per-capita |
| 12 | Wyoming | 6,200 | 3,700,000,000 | Very low per-capita and low total |
