# List of Super Y - League clubs
> Pacific Northwest Division

| Club | City | State |
| --- | --- | --- |
| Abbotsford Mariners | Abbotsford | British Columbia |
| Cascade Surge | Salem | Oregon |
| Coastal FC | Surrey | British Columbia |
| Coquitlam Metro-Ford SC | Coquitlam | British Columbia |
| Crossfire Premier | Redmond | Washington |
| Evergreen Soccer Club | Everett | Washington |
| FC Portland | Portland | Oregon |
| Mountain FC | Burnaby | British Columbia |
| Northwest Nationals | Mountlake Terrace | Washington |
| Revolution Football Club | Surrey | British Columbia |
| Snohomish County Selects | Everett | Washington |
| Spokane Soccer Club | Spokane | Washington |
| Thompson-Okanagan FC | Vernon | British Columbia |
| Vancouver Whitecaps FC | Vancouver | British Columbia |
| West Coast Capitals | Victoria | British Columbia |
| Yakima Reds | Yakima | Washington |
