# Venomous Snakes of the Southwestern United States (Multi-State Overview)

| Species (Scientific) | Common Name | States/Areas Listed | Typical Habitat | Notes |
|---|---|---|---|---|
| Crotalus atrox | Western diamondback rattlesnake | AZ, NM, TX, OK | Desert scrub, grasslands | Common across multiple states |
| Crotalus scutulatus | Mojave rattlesnake | CA, NV, AZ, UT | Desert, chaparral | Neurotoxic venom in some populations |
| Crotalus viridis | Prairie rattlesnake | CO, WY, NM, TX, NE | Prairies, foothills | Broad Great Plains range |
| Sistrurus tergeminus | Western massasauga | TX, OK, KS, MO | Grasslands, wetlands edges | Small-bodied rattlesnake |
| Micruroides euryxanthus | Arizona coral snake | AZ, NM | Desert canyons | Secretive, rarely seen |
| Agkistrodon contortrix | Copperhead | TX, OK, KS, MO, AR | Woodlands | Several subspecies across range |
| Agkistrodon piscivorus | Cottonmouth | TX, OK, AR, LA | Swamps, rivers | Aquatic pit viper |
| Crotalus ruber | Red diamond rattlesnake | CA, AZ | Coastal scrub, deserts | Range crosses state lines |
| Crotalus cerastes | Sidewinder | CA, NV, AZ, UT | Sandy deserts | Specialized locomotion |
| Crotalus lepidus | Rock rattlesnake | TX, NM, AZ | Rocky slopes | Multiple disjunct populations |
