# Public Holidays Calendar 2016 (Selected Countries) — Date-by-Date Grid

| Date | United States | Canada | Mexico | Notes |
| --- | --- | --- | --- | --- |
| 2016-01-01 | New Year's Day | New Year's Day | New Year's Day | Common holiday across North America |
| 2016-02-15 | Presidents' Day | Family Day (many provinces) | Constitution Day (observed) | Different names/coverage |
| 2016-03-21 |  |  | Benito Juárez's Birthday (observed) | Mexico-only entry |
| 2016-07-01 |  | Canada Day |  | National holiday in Canada |
| 2016-07-04 | Independence Day |  |  | US-only entry |
| 2016-09-05 | Labor Day | Labour Day |  | Shared US/Canada holiday |
| 2016-10-10 |  | Thanksgiving |  | Canada-only entry |
| 2016-11-24 | Thanksgiving Day |  |  | US-only entry |
| 2016-12-25 | Christmas Day | Christmas Day | Christmas Day | Common holiday |
