# National Football League Rookie of the Year Award
> Associated Press NFL ROTY Award

| Season | Player | Team | Position |
| --- | --- | --- | --- |
| 1967 | Barney ! Lem Barney | Detroit Lions | Cornerback |
| 1968 | Humphrey ! Claude Humphrey | Atlanta Falcons | Defensive end |
| 1969 | Greene ! Joe Greene | Pittsburgh Steelers | Defensive tackle |
| 1970 | Taylor ! Bruce Taylor | San Francisco 49ers | Cornerback |
| 1971 | Robertson ! Isiah Robertson | Los Angeles Rams | Linebacker |
| 1972 | Johnson ! Willie Buchanon | Green Bay Packers | Cornerback |
| 1973 | Chambers ! Wally Chambers | Chicago Bears | Defensive tackle |
| 1974 | Lambert ! Jack Lambert | Pittsburgh Steelers | Linebacker |
| 1975 | Brazile ! Robert Brazile | Houston Oilers | Linebacker |
| 1976 | Haynes ! Mike Haynes | New England Patriots | Cornerback |
| 1977 | Duhe ! A.J. Duhe | Miami Dolphins | Defensive end |
| 1978 | Baker ! Al Baker | Detroit Lions | Defensive end |
| 1979 | Haslett ! Jim Haslett | Buffalo Bills | Linebacker |
| 1980 | Curry ! Buddy Curry co-winner Richardson ! Al Richardson co-winner | Atlanta Falcons Atlanta Falcons | Linebacker Linebacker |
| 1981 | Taylor ! Lawrence Taylor | New York Giants | Linebacker |
| 1982 | Banks ! Chip Banks | Cleveland Browns | Linebacker |
| 1983 | Maxwell ! Vernon Leroy Maxwell | Baltimore Colts | Linebacker |
| 1984 | Maas ! Bill Maas | Kansas City Chiefs | Defensive tackle |
| 1985 | Bickett ! Duane Bickett | Indianapolis Colts | Linebacker |
| 1986 | O'Neal ! Leslie O'Neal | San Diego Chargers | Defensive end |
| 1987 | Conlan ! Shane Conlan | Buffalo Bills | Linebacker |
| 1988 | McMillan ! Erik McMillan | New York Jets | Safety |
| 1989 | Thomas ! Derrick Thomas | Kansas City Chiefs | Linebacker |
| 1990 | Carrier ! Mark Carrier | Chicago Bears | Safety |
| 1991 | Croell ! Mike Croel | Denver Broncos | Linebacker |
| 1992 | Carter ! Dale Carter | Kansas City Chiefs | Cornerback |
| 1993 | Stubblefield ! Dana Stubblefield | San Francisco 49ers | Defensive tackle |
| 1994 | Bowens ! Tim Bowens | Miami Dolphins | Defensive tackle |
| 1995 | Douglas ! Hugh Douglas | New York Jets | Defensive end |
| 1996 | Rice ! Simeon Rice | Arizona Cardinals | Defensive end |
| 1997 | Boulware ! Peter Boulware | Baltimore Ravens | Linebacker |
| 1998 | Woodson ! Charles Woodson | Oakland Raiders | Cornerback |
| 1999 | Kearse ! Jevon Kearse | Tennessee Titans | Defensive end |
| 2000 | Urlacher ! Brian Urlacher | Chicago Bears | Linebacker |
| 2001 | Bell ! Kendrell Bell | Pittsburgh Steelers | Linebacker |
| 2002 | Peppers ! Julius Peppers | Carolina Panthers | Defensive end |
| 2003 | Suggs ! Terrell Suggs | Baltimore Ravens | Linebacker |
| 2004 | Vilma ! Jonathan Vilma | New York Jets | Linebacker |
| 2005 | Merriman ! Shawne Merriman | San Diego Chargers | Linebacker |
| 2006 | Ryans ! DeMeco Ryans | Houston Texans | Linebacker |
| 2007 | Willis ! Patrick Willis | San Francisco 49ers | Linebacker |
| 2008 | Mayo ! Jerod Mayo | New England Patriots | Linebacker |
| 2009 | Cushing ! Brian Cushing | Houston Texans | Linebacker |
| 2010 | Suh ! Ndamukong Suh | Detroit Lions | Defensive tackle |
| 2011 | Miller ! Von Miller | Denver Broncos | Linebacker |
| 2012 | Kuechly, Luke Luke Kuechly [7] | Carolina Panthers | Linebacker |
| 2013 | Richardson ! Sheldon Richardson | New York Jets | Defensive end |
| 2014 | Donald ! Aaron Donald | St. Louis Rams | Defensive tackle |
| 2015 | Peters ! Marcus Peters | Kansas City Chiefs | Cornerback |
