# GCSE to A level Subject Continuation Map (Common UK Offerings)

| Subject | Offered at GCSE? | Offered at A level? | Typical notes on progression |
| --- | --- | --- | --- |
| English Literature | Yes | Yes | Often taken as a direct continuation; GCSE English supports A level study |
| English Language | Yes | Sometimes | A level Language exists in some centres; not universal |
| Mathematics | Yes | Yes | A level Maths builds on GCSE Higher content |
| Further Mathematics | No | Yes | Usually requires strong GCSE Maths; sometimes entry test |
| Biology | Yes | Yes | Commonly requires GCSE Biology (separate) or strong Combined Science grades |
| Chemistry | Yes | Yes | Often requires GCSE Chemistry / strong science & maths grades |
| Physics | Yes | Yes | Often requires GCSE Physics / strong maths grade |
| Combined Science | Yes | No | Stops at GCSE; students switch to separate A level sciences |
| Computer Science | Yes | Yes | GCSE helpful but not always required depending on school |
| Design & Technology | Yes | Sometimes | A level options vary: Product Design / DT pathways |
| Art & Design | Yes | Yes | Portfolio-based progression; GCSE usually expected |
| Music | Yes | Yes | Performance + theory; GCSE typically expected |
| Drama and Theatre | Yes | Yes | Availability varies by school/college |
| Physical Education | Yes | Sometimes | A level PE not offered everywhere |
| History | Yes | Yes | One of the most widely offered humanities at A level |
| Geography | Yes | Yes | Widely offered; fieldwork components increase at A level |
| Religious Studies | Yes | Yes | Often framed as Philosophy/Ethics/Theology at A level |
| French | Yes | Yes | A level requires strong GCSE foundation and speaking confidence |
| Spanish | Yes | Yes | Similar to French; popularity varies by region |
| German | Yes | Sometimes | Less common than French/Spanish but still available in many areas |
| Latin | Yes | Yes | Offered where Classics provision exists |
| Classical Civilisation | Yes | Yes | Can be started at A level without GCSE in some centres |
| Economics | Sometimes | Yes | GCSE not required in many schools; maths skills helpful |
| Business | Yes | Yes | Often offered at both stages; overlaps with Economics but distinct |
| Psychology | Sometimes | Yes | Frequently offered at A level; GCSE not usually required |
| Sociology | Sometimes | Yes | Common A level; GCSE not usually required |
| Media Studies | Yes | Yes | Offered at both; availability depends on centre |
| Politics | No | Yes | Typically begins at A level with no GCSE equivalent |
| Statistics | Sometimes | Sometimes | GCSE Statistics exists; A level usually embedded in Maths or offered separately |
| Film Studies | Sometimes | Sometimes | Some centres offer GCSE Film and/or A level Film; not universal |
| Citizenship | No | No | Usually KS3/PSHE-type provision; not an A level subject in most centres |
