# Monthly Weather Averages for Osaka (Japan) — Temperature, Precipitation, Humidity, Wind

| Month | Avg Temperature (°C) | Precipitation (mm) | Avg Relative Humidity (%) | Avg Wind Speed (m/s) |
|---|---:|---:|---:|---:|
| Jan | 6.1 | 45 | 60 | 2.7 |
| Feb | 6.5 | 60 | 60 | 2.8 |
| Mar | 9.9 | 105 | 61 | 2.9 |
| Apr | 15.1 | 110 | 62 | 3.0 |
| May | 19.7 | 135 | 65 | 2.8 |
| Jun | 23.3 | 185 | 73 | 2.5 |
| Jul | 27.4 | 160 | 74 | 2.3 |
| Aug | 28.8 | 95 | 70 | 2.2 |
| Sep | 25.0 | 155 | 72 | 2.4 |
| Oct | 19.3 | 110 | 66 | 2.5 |
| Nov | 13.7 | 70 | 63 | 2.6 |
| Dec | 8.5 | 45 | 61 | 2.7 |
