# Glycemic Index (GI) of Common Breakfast Foods (Serving Sizes Listed)

| Breakfast food | GI (glucose=100) | Typical serving | Notes |
|---|---:|---|---|
| Corn flakes | 81 | 30 g (about 1 cup) | Often higher with low fiber |
| Rolled oats, cooked | 55 | 234 g (1 cup cooked) | Varies by cut/processing |
| Instant oatmeal | 79 | 234 g (1 cup cooked) | More processed than rolled oats |
| Whole wheat bread | 69 | 1 slice (30 g) | Brand dependent |
| White bread | 75 | 1 slice (30 g) | Highly refined flour |
| Plain bagel | 72 | 1 medium (90 g) | Dense refined carbs |
| Rice cakes | 82 | 2 cakes (18 g) | Low moisture, quick digestion |
| Yogurt, plain unsweetened | 35 | 170 g (3/4 cup) | Dairy tends to be lower GI |
| Orange juice | 50 | 240 ml (1 cup) | Liquid carbs absorb quickly |
| Banana, ripe | 62 | 118 g (1 medium) | Ripeness raises GI |
