# High-Fiber Foods (Fruits & Whole Grains) — Serving Size and Fiber (g per serving)

| Category | Food | Serving size | Fiber (g per serving) |
| --- | --- | --- | --- |
| Fruits | Avocado | 1/2 medium | 6.7 |
| Fruits | Raspberries | 1 cup | 8.0 |
| Fruits | Blackberries | 1 cup | 7.6 |
| Fruits | Pear (with skin) | 1 medium | 5.5 |
| Fruits | Orange | 1 medium | 3.1 |
| Whole grains | Quinoa, cooked | 1 cup | 5.2 |
| Whole grains | Brown rice, cooked | 1 cup | 3.5 |
| Whole grains | Whole-wheat bread | 2 slices | 4.0 |
| Whole grains | Shredded wheat cereal | 1 cup | 6.0 |
| Whole grains | Oatmeal, cooked | 1 cup | 4.0 |
| Snacks (whole grain) | Popcorn, air-popped | 3 cups | 3.5 |
