# Public Holidays by Country — Quarter-Based Summary

| Country | Q1 Holidays (Jan–Mar) | Q2 Holidays (Apr–Jun) | Q3 Holidays (Jul–Sep) | Q4 Holidays (Oct–Dec) |
| --- | --- | --- | --- | --- |
| France | New Year's Day; Easter period (variable) | Labour Day; Ascension (variable) | Assumption | All Saints; Christmas |
| Mexico | Constitution Day (early Feb, Monday) | Holy Week (variable); Labour Day | Independence season | Revolution Day (Nov, Mondayized); Christmas season |
| South Africa | New Year period | Freedom Day; Workers' Day | Women's Day; Heritage Day | Day of Reconciliation; Christmas |
| Philippines | New Year period; People Power (Feb) | Holy Week window | National Heroes (Aug, Monday) | All Saints window; Christmas season |
| Turkey | New Year | Ramadan Feast (variable) | Democracy Day; Sacrifice Feast (variable) | Republic Day |
| Nigeria | New Year period | Easter window; Workers' Day | Eid periods (variable) | Independence season; Christmas |
| Germany | New Year; Carnival (regional/variable) | Good Friday/Easter; Labour Day | Assumption (regional) | Unity Day; Christmas |
| Brazil | Carnival window; Easter (variable) | Tiradentes; Labour Day; Corpus Christi (variable) | Independence Day | Our Lady of Aparecida; Christmas |
| Japan | Coming-of-Age (Jan, Monday) | Golden Week period | Respect-for-the-Aged (Sep, Monday) | Culture Day; Year-end holidays |
| India | Republic period | Holi/Eid windows | Independence period | Diwali window; Christmas |
