# Starbucks Coffee Beverages  Caffeine Content (mg) by Cup Size

| Beverage (Starbucks) | Short (8 fl oz) | Tall (12 fl oz) | Grande (16 fl oz) | Venti (20 fl oz) |
|---|---:|---:|---:|---:|
| Pike Place Roast (Brewed Coffee) | 155 | 235 | 310 | 410 |
| Blonde Roast (Brewed Coffee) | 180 | 270 | 360 | 475 |
| Featured Dark Roast (Brewed Coffee) | 165 | 245 | 320 | 425 |
| Caffè Americano (Hot) | 75 | 150 | 225 | 300 |
| Caffè Latte (Hot) | 75 | 75 | 150 | 150 |
| Cappuccino (Hot) | 75 | 75 | 150 | 150 |
| Flat White (Hot) | 130 | 130 | 195 | 260 |
| Caffè Mocha (Hot) | 90 | 175 | 185 | 265 |
| White Chocolate Mocha (Hot) | 75 | 150 | 150 | 225 |
