# Yellow Fever Vaccine  Traveler Entry Guidance for Selected Countries (Required vs Recommended)

| Country / Territory | Yellow fever vaccination required for entry? | Requirement trigger (if any) | Yellow fever vaccination recommended for travelers? | Notes for travelers |
| --- | --- | --- | --- | --- |
| Nigeria | Yes | Typically required for travelers aged ≥9 months | Yes | Have ICVP available at border control |
| Uganda | Yes | Typically required for travelers aged ≥9 months | Yes | ICVP proof commonly requested |
| Rwanda | Yes (conditional) | Required if arriving from/transiting through a yellow-fever-risk country | Sometimes | Keep routing documentation if transited briefly |
| India | Yes (conditional) | Required if arriving from/transiting through a yellow-fever-risk country | No (for most travelers) | Requirement is tied to origin/transit, not routine travel |
| China | Yes (conditional) | Required if arriving from a yellow-fever-risk country | No (for most travelers) | ICVP checked when applicable |
| Singapore | Yes (conditional) | Required if arriving from a yellow-fever-risk country | No | Mainly an entry-rule check tied to recent travel history |
| Peru | No (generally) | Not required for most direct arrivals | Yes (risk areas) | Recommended for Amazon/border risk zones |
| Argentina | No (generally) | Not required for most direct arrivals | Yes (risk areas) | Recommendation depends on region visited |
| France (incl. mainland) | No | Not required for entry | No | Note: overseas territories may differ |
