# Motor Fuel Taxes by State and Selected Local Add-ons (Combined Effective Rate)

| State | Gasoline effective tax (state + average local, ¢/gal) | Diesel effective tax (state + average local, ¢/gal) | Local component basis |
|---|---:|---:|---|
| California | 48.62 | 41.80 | Average county add-on estimated |
| Illinois | 27.50 | 30.70 | Includes typical municipal fuel tax |
| Nevada | 34.10 | 36.10 | Includes average county index |
| New York | 46.80 | 49.90 | Includes regional transit add-on |
| Oregon | 43.00 | 45.50 | Includes metro-area surcharge |
| Pennsylvania | 62.30 | 65.20 | Includes common local assessments |
| Virginia | 34.70 | 37.10 | Includes average regional levy |
| Washington | 55.40 | 58.20 | Includes local clean-air add-on |
| Wisconsin | 34.30 | 36.60 | Includes county option tax |
