# NHL Presidents' Trophy Winners and Playoff Outcome by Round (Selected Seasons)

| Season | Presidents' Trophy winner (best regular-season record) | Playoff outcome (round reached / endpoint) | Stanley Cup champion (for reference) |
|---|---|---|---|
| 2012–13 | Chicago Blackhawks | Won Stanley Cup | Chicago Blackhawks |
| 2013–14 | Boston Bruins | Lost in second round | Los Angeles Kings |
| 2014–15 | New York Rangers | Lost in conference final | Chicago Blackhawks |
| 2015–16 | Washington Capitals | Lost in second round | Pittsburgh Penguins |
| 2016–17 | Washington Capitals | Lost in second round | Pittsburgh Penguins |
| 2017–18 | Nashville Predators | Lost in second round | Washington Capitals |
| 2018–19 | Tampa Bay Lightning | Lost in first round | St. Louis Blues |
| 2019–20 | Boston Bruins | Lost in second round | Tampa Bay Lightning |
| 2020–21 | Colorado Avalanche | Lost in second round | Tampa Bay Lightning |
| 2021–22 | Florida Panthers | Lost in second round | Colorado Avalanche |
| 2022–23 | Boston Bruins | Lost in first round | Vegas Golden Knights |
