# Most Subscribed YouTube Channels (Channel-level List, No Category Tags)

| Rank | Channel name | Owner/Organization | Subscribers (approx.) | Notes |
| --- | --- | --- | --- | --- |
| 1 | T-Series | T-Series | 260M | Indian music label channel |
| 2 | MrBeast | Jimmy Donaldson | 230M | Creator-led main channel |
| 3 | Cocomelon - Nursery Rhymes | Moonbug Entertainment | 180M | Preschool content |
| 4 | SET India | Sony Pictures Networks India | 175M | TV network channel |
| 5 | PewDiePie | Felix Kjellberg | 110M | Legacy top creator channel |
| 6 | Kimpro | Kimpro (company) | 105M | Short-form compilation brand |
| 7 | WWE | World Wrestling Entertainment | 105M | Sports entertainment |
| 8 | Justin Bieber | Justin Bieber | 75M | Official artist channel |
| 9 | HYBE LABELS | HYBE | 75M | Music label channel |
| 10 | 5-Minute Crafts | TheSoul Publishing | 80M | DIY/entertainment publisher |
