# Ligand Property Reference  Formulas and Donor Atoms (Charge Omitted)

| Ligand | Chemical formula | Primary donor atom(s) | Denticity | Hard/soft character | Common abbreviation |
| --- | --- | --- | --- | --- | --- |
| Ammine | NH3 | N | 1 | hard | NH3 |
| Aqua | H2O | O | 1 | hard | H2O |
| Hydroxide | OH | O | 1 | hard | OH |
| Chloride | Cl | Cl | 1 | borderline | Cl |
| Cyanide | CN | C (also N) | 1 | soft (C-end) | CN |
| Carbon monoxide | CO | C | 1 | soft | CO |
| Nitrite | NO2 | N or O | 1 | borderline | NO2 |
| Oxalate | C2O4 | O,O | 2 | hard | ox |
| Ethylenediamine | C2H8N2 | N,N | 2 | hard | en |
