# List of companies listed on the Singapore Exchange
> SGX mainboard listing

| Full name | Incorporated | ISIN Code | Listed |
| --- | --- | --- | --- |
| R H Energy Ltd | Singapore | SG1V20936588 | 11 July 2007 |
| Radiance Group Limited | Singapore | SG1O08910935 | 2 October 2006 |
| Raffles Education Corporation Limited | Singapore | SG1W62939507 | 10 January 2005 |
| Raffles Medical Group Limited | Singapore | SG1E34851329 | 10 July 2000 |
| Ramba Energy Limited | Singapore | SG1P35918371 | 6 May 2004 |
| Reyphon Agriceutical Limited | Singapore | SG1V36936952 | 1 August 2007 |
| RH PetroGas Limited | Singapore | SG1H00001443 | 24 June 1993 |
| Rickmers Maritime | Singapore | SG1U88935523 | 4 May 2007 |
| Riverstone Holdings Limited | Singapore | SG1U22933048 | 20 November 2006 |
| Rotary Engineering Limited | Singapore | SG1A43000730 | 30 July 1993 |
| Rowsley Ltd. | Singapore | SG1M49904634 | 10 July 2002 |
| Roxy-Pacific Holdings Limited | Singapore | SG1W66939735 | 12 March 2008 |
| Ryobi Kiso Holdings Ltd. | Singapore | SG1Z28952732 | 27 January 2010 |
