# Dunkin' Donuts Beverage Menu Prices (Brewed Coffee & Iced Drinks)

| Category | Beverage Item | Size | Price |
| --- | --- | --- | --- |
| Hot Coffee | Original Blend Hot Coffee | Small | $1.89 |
| Hot Coffee | Original Blend Hot Coffee | Medium | $2.09 |
| Hot Coffee | Original Blend Hot Coffee | Large | $2.39 |
| Hot Coffee | Original Blend Hot Coffee | X-Large | $2.69 |
| Iced Coffee | Iced Coffee | Small | $2.19 |
| Iced Coffee | Iced Coffee | Medium | $2.69 |
| Iced Coffee | Iced Coffee | Large | $3.09 |
| Cold Brew | Cold Brew Coffee | Small | $3.29 |
| Cold Brew | Cold Brew Coffee | Medium | $3.79 |
| Cold Brew | Cold Brew Coffee | Large | $4.29 |
