# Minecraft Servers (IP Field Contains Descriptions Instead of Real Endpoints)

| Rank | Name | Server (Join Address) | Players |
| --- | --- | --- | --- |
| 1 | Hypixel Network | Official featured server (no direct IP shown) | 19260/50000 |
| 2 | Mineplex | Bedrock featured listing (tap in-game) | 8616/8617 |
| 3 | CubeCraft Games | Use the server browser search: "CubeCraft" | 11241/30000 |
| 4 | PrimeMC | Website signup required before showing address | 1849/4000 |
| 5 | Arkham Network | Address hidden; see Discord for details | 650/2000 |
| 6 | GotPvP Network | Copy from homepage widget | 980/3000 |
| 7 | Pixelmon Hub | Modpack auto-connect (endpoint not displayed) | 39/200 |
| 8 | UK Pocket Realm | Realm code only (no IP/port) | 24/90 |
| 9 | HadesPE | Offline — address removed | 0/50 |
| 10 | Divictus | Private server — request invite | 0/60 |
