# Metric Tap-Drill Recommendations for Common Fastener Threads (Thread Size → Drill Diameter in mm)

| Nominal metric thread | Pitch (mm) | Typical use note | Recommended tap-drill (mm) |
|---|---:|---|---:|
| M2×0.4 | 0.40 | Small machine screws | 1.6 |
| M2.5×0.45 | 0.45 | Electronics / light hardware | 2.1 |
| M3×0.5 | 0.50 | General small fasteners | 2.5 |
| M4×0.7 | 0.70 | General purpose | 3.3 |
| M5×0.8 | 0.80 | General purpose | 4.2 |
| M6×1.0 | 1.00 | General purpose | 5.0 |
| M7×1.0 | 1.00 | Automotive / machinery | 6.0 |
| M8×1.25 | 1.25 | Structural / brackets | 6.8 |
| M9×1.25 | 1.25 | Less common | 7.8 |
| M10×1.5 | 1.50 | General purpose | 8.5 |
| M11×1.5 | 1.50 | Less common | 9.5 |
| M12×1.75 | 1.75 | General purpose | 10.2 |
| M16×2.0 | 2.00 | Heavier fasteners | 14.0 |
