# 4K Titles on Netflix — Scan List by Title Type and Availability Window

| Title | Type | Country/Region Availability | UHD/4K | HDR | Original/License | Release Year | Availability Note |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Arcane | Series | Global | Yes | Dolby Vision | Netflix Original | 2021 | Ongoing |
| Wednesday | Series | Global | Yes | Dolby Vision | Netflix Original | 2022 | Ongoing |
| The Queen's Gambit | Limited Series | Global | Yes | Dolby Vision | Netflix Original | 2020 | Ongoing |
| Glass Onion: A Knives Out Mystery | Movie | Global | Yes | Dolby Vision | Netflix Original | 2022 | Ongoing |
| All Quiet on the Western Front | Movie | Global | Yes | Dolby Vision | Netflix Original | 2022 | Ongoing |
| Bird Box | Movie | Global | Yes | Dolby Vision | Netflix Original | 2018 | Ongoing |
| 6 Underground | Movie | Global | Yes | Dolby Vision | Netflix Original | 2019 | Ongoing |
| The Pale Blue Eye | Movie | Global | Yes | Dolby Vision | Netflix Original | 2022 | Ongoing |
| Formula 1: Drive to Survive | Documentary Series | Global | Yes | Dolby Vision | Netflix Original | 2019 | Ongoing |
| Lupin | Series | Global | Yes | Dolby Vision | Netflix Original | 2021 | Ongoing |
