# Grand Slam Singles Titles Leaders (Women) — Across Eras

| Rank | Player | Grand Slam singles titles | Tour | Era/Notes |
|---:|---|---:|---|---|
| 1 | Margaret Court | 24 | WTA | Includes pre-Open Era titles |
| 2 | Serena Williams | 23 | WTA | Open Era leader (women) |
| 3 | Steffi Graf | 22 | WTA | Golden Slam (1988) |
| 4 | Helen Wills | 19 | WTA | Dominant early era |
| 5 | Chris Evert | 18 | WTA | Major champion on clay & hard |
| 6 | Martina Navratilova | 18 | WTA | Wimbledon excellence |
| 7 | Billie Jean King | 12 | WTA | Spanned amateur & Open Era |
| 8 | Evonne Goolagong | 7 | WTA | Won majors on grass & hard |
| 9 | Justine Henin | 7 | WTA | Multiple Roland Garros titles |
| 10 | Venus Williams | 7 | WTA | Seven-time major singles champion |
| 11 | Monica Seles | 9 | WTA | Nine majors by age 19 |
| 12 | Suzanne Lenglen | 8 | WTA | Key pre-Open Era champion |
