# Jersey Boys
> Principal roles and casts

| Character | Description | Original Broadway performer | Current Broadway performer | Original West End performer | Current West End performer | Original U.S. Tour performer | Current U.S. Tour performer | 2014 Movie Cast |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Frankie Valli | Member and lead vocalist of The Four Seasons. | John Lloyd Young | Mark Ballas | Ryan Molloy Scott Monello (alternate) | Matt Corner Dayle Hodge (alternate) | Christopher Kale Jones | Aaron De Jesus Shaun Taylor-Corbett (alternate) | John Lloyd Young |
| Tommy DeVito | Member and lead guitar player of The Four Seasons. Eventually leaves the group when he racks up a debt with a loan shark. | Christian Hoff | Richard H. Blake | Glenn Carter | Simon Bailey | Deven May | Matthew Dailey | Vincent Piazza |
| Bob Gaudio | Songwriter, member and keyboard player of The Four Seasons. The youngest and last member to join the group. | Daniel Reichard | Quinn VanAntwerp | Stephen Ashfield | Declan Egan | Erich Bergen | Drew Seeley | Erich Bergen |
| Nick Massi | Member and bass player of The Four Seasons. Has a good ear for vocals and helps train Frankie with his singing. | J. Robert Spencer | Matt Bogart | Philip Bulcock | Matt Hunt | Michael Ingersoll | Keith Hines | Michael Lomenda |
| Mary Delgado | Frankie Valli's first wife. She advises Frankie on the spelling of his stage name, and marries him while the group is just starting out. They separate when the strain of Frankie's career is too much on their relationship. | Jennifer Naimo | Cara Cooper | Suzy Bastone | Nicola Brazil | Sandra DeNise | Marlana Dunn | Renee Marino |
| Bob Crewe | Record producer that signs on the group before they rename themselves as The Four Seasons. Helps them record and release their music. | Peter Gregus | Peter Gregus | Simon Adkins | Mark Dugdale | John Altieri | Barry Anderson | Mike Doyle |
| Gyp DeCarlo | A mob boss that has ties to The Four Seasons via Tommy DeVito. He helps the group when Tommy racks up a significant amount of debts, mediating their negotiations with the loan shark as a third party. | Mark Lotito | Mark Lotito | Stuart Milligan | Mark Heenahan |  | Thomas Fiscella | Christopher Walken |
| Joe Pesci | Referred to as "Joey", he's a friend of Tommy, Frankie and Nick, and helps introduce Bob Gaudio to them. Eventually becomes an actor. | Michael Longoria | Jon Hacker | Jye Frasca | Will Haswell | Nathan Klau | Jonny Wexler | Joey Russo |
| Norm Waxman | The loan shark that Tommy gets into trouble with because of his increasing debts. | Donnie Kehr | Miles Aubrey | Joseph Prouse | Joe Maxwell |  | John Rochette | Donnie Kehr |
| Lorraine | A reporter, and Frankie's girlfriend after he splits with Mary. Become one of the focal points for the fall-out between Frankie and Tommy, when Tommy hits on her despite knowing that she is with Frankie. | Erica Piccininni | Jessica Rush | Amy Pemberton | Nicky Griffiths |  | Jaycie Dotin | Erica Piccininni |
| Francine Valli | Frankie's daughter with Mary. She initially has a strained relationship with Frankie, and wants to become a singer. She dies of a drug overdose. | Sara Schmidt | Sara Schmidt | Michelle Francis | Helen Ternent |  | Leslie Rochette | Freya Tingley |
